지역,현재일기,시정,운량,중하운량,현재기온,이슬점온도,불쾌지수,일강수,습도,풍향,풍속,해면기압
0,강릉, ,16.9, , ,27.5,13.0,74, ,41,남서,
1,강진군, ,20 이상, , ,27.6,16.5,75, ,51,남남서,
2,강화, ,20 이상, , ,22.3,14.6,69,0.0,62,서북서,
3,거제, ,14.0, , ,24.8,15.1,72, ,55,남서,
4,거창, ,20 이상, , ,29.7,12.5,76, ,35,남남서,
5,경주시, ,20 이상, , ,30.0,16.4,77, ,44,북,
6,고산, ,20 이상, , ,23.4,21.8,73, ,91,남남동,
7,고창, ,17.5, , ,28.5,16.0,76, ,47,남서,
8,고창군, ,20 이상, , ,29.0,16.2,76, ,46,남서,
9,고흥, ,20 이상, , ,26.9,15.9,74, ,51,서,
10,광양시, ,15.7, , ,27.6,18.0,76, ,56,남서,
11,광주,맑음,19.3,1,0,29.5,16.6,77, ,46,서남서,
12,구미, ,20 이상, , ,28.2,15.1,75, ,45,동북동,
13,군산, ,20 이상, , ,26.3,17.0,74, ,57,서북서,
14,금산, ,20 이상, , ,28.9,13.1,75, ,38,서북서,
15,김해시, ,20 이상, , ,27.5,18.7,76, ,59,남동,
16,남원, ,20 이상, , ,29.6,13.3,76, ,37,서북서,
17,남해, ,20 이상, , ,26.7,15.0,74, ,49,서북서,
18,대관령, ,15.4, , ,20.7,11.8,67, ,57,서,
19,대구,구름많음,20 이상,7,0,29.9,12.7,76, ,35,북북서,
20,대전,구름많음,20 이상,6,0,29.1,11.6,75, ,34,서남서,
21,동두천, ,20 이상, , ,20.7,18.0,68,0.0,85,북북동,
22,동해, ,20 이상, , ,24.5,13.3,71, ,50,북서,
23,목포,구름조금,19.5,4,0,25.2,17.8,74, ,64,서남서,
24,문경, ,20 이상, , ,26.5,13.9,73, ,46,북북서,
25,밀양, ,20 이상, , ,31.3,13.5,77, ,34,정온,
26,백령도,약한 비 단속적,17.2,10,3,17.9,16.5,64,0.6,92,동남동,
27,보령, ,20 이상, , ,23.8,14.2,71, ,55,남서,
28,보성군, ,20 이상, , ,27.8,12.5,74, ,39,서남서,
29,보은, ,20 이상, , ,27.4,13.7,74, ,43,북동,
30,봉화, ,20 이상, , ,22.7,11.7,69, ,50,남남서,
31,부산,구름조금,20 이상,3,0,23.5,16.7,71, ,66,남남서,
32,부안, ,20 이상, , ,26.1,17.9,74, ,61,북서,
33,부여, ,19.5, , ,28.5,8.7,73, ,29,서북서,
34,북강릉,구름많음,20 이상,8,8,25.5,12.6,72, ,45,남동,
35,북창원, ,20 이상, , ,28.9,20.3,78, ,60,남남서,
36,북춘천,흐림,20 이상,10,8,21.8,15.6,69, ,68,남서,
37,산청, ,19.0, , ,28.3,20.0,78, ,61,동,
38,상주, ,20 이상, , ,28.2,16.1,76, ,48,정온,
39,서귀포,구름많음,20 이상,6,0,23.6,20.5,73, ,83,남,
40,서산, ,15.2, , ,26.0,9.7,71, ,36,남서,
41,서울,구름많음,20 이상,7,7,23.6,15.6,71,0.0,61,동,
42,성산, ,20 이상, , ,23.4,21.4,73, ,89,남남동,
43,세종, ,20 이상, , ,27.1,10.3,73, ,35,서,
44,속초, ,20 이상, , ,27.5,12.6,74,0.0,40,서남서,
45,수원,구름조금,19.8,4,0,25.6,13.7,72,0.0,48,남남동,
46,순창군, ,17.6, , ,29.8,12.2,76, ,34,남서,
47,순천, ,15.9, , ,27.1,19.1,76, ,62,남,
48,안동,구름조금,19.2,3,3,27.0,13.3,74, ,43,서북서,
49,양산시, ,16.9, , ,27.1,18.3,76, ,59,남남서,
50,양평, ,17.6, , ,22.1,13.9,69,0.0,60,남남서,
51,여수,맑음,19.2,0,0,24.7,17.9,73, ,66,남서,
52,영광군, ,20 이상, , ,27.5,16.7,75, ,52,서남서,
53,영덕, ,20 이상, , ,27.1,13.4,74, ,43,서,
54,영월, ,20 이상, , ,23.9,12.5,70,0.0,49,북,
55,영주, ,19.0, , ,25.4,13.5,72, ,48,서북서,
56,영천, ,20 이상, , ,28.6,14.4,75, ,42,서,
57,완도, ,20 이상, , ,25.1,18.5,74, ,67,동남동,
58,울릉도,구름많음,20 이상,7,4,25.0,16.6,73, ,60,남남서,
59,울산,구름많음,20 이상,7,0,25.4,17.0,73, ,60,남남동,
60,울진, ,20 이상, , ,26.7,15.4,74, ,50,서남서,
61,원주, ,19.5, , ,23.4,12.6,70,0.0,51,북동,
62,의령군, ,16.2, , ,30.3,16.3,78, ,43,남,
63,의성, ,20 이상, , ,28.2,14.7,75, ,44,서북서,
64,이천, ,11.3, , ,23.6,15.6,71, ,61,동북동,
65,인제, ,20 이상, , ,22.4,13.9,69,0.0,59,남남서,
66,인천,구름많음,20 이상,7,0,22.6,9.7,68,0.0,44,서,
67,임실, ,19.4, , ,28.1,13.2,74, ,40,남,
68,장수, ,19.9, , ,27.3,13.6,74, ,43,서남서,
69,장흥, ,20 이상, , ,26.1,14.2,73, ,48,남동,
70,전주,구름많음,20 이상,7,0,29.4,11.8,75, ,34,서,
71,정선군, ,17.9, , ,21.7,13.5,68,0.0,60,서북서,
72,정읍, ,20 이상, , ,28.9,16.1,76, ,46,서,
73,제주,구름많음,20 이상,6,0,23.9,17.3,72, ,67,북북동,
74,제천, ,20 이상, , ,23.5,12.7,70,0.0,51,남남서,
75,진도군, ,19.9, , ,26.0,18.6,75, ,64,남,
76,진주, ,20 이상, , ,27.1,19.4,76, ,63,남,
77,창원,맑음,20 이상,2,0,26.4,16.0,74, ,53,남남동,
78,천안, ,20 이상, , ,26.6,13.6,73, ,45,정온,
79,철원, ,20 이상, , ,21.0,18.7,69,0.1,87,남남서,
